"word","partOfSpeech","definition","exampleSentence","sourceGroup"
"propitious","adjective","favorable","Someone who is propitious is favorable, and the character seemed exactly that.","Unit 30"
"proponent","noun","a person who supports a cause; an advocate The senator, a proponent of alternative fuels, created a bill which would help decrease dependency on oil","The word proponent refers to a person who supports a cause; an advocate The senator, a proponent of alternative fuels, created a bill which would help decrease dependency on oil, and that meaning fits the scene.","Unit 16"
"propriety","noun","the quality or state of being proper, decent","The word propriety refers to the quality or state of being proper, decent, and that meaning fits the scene.","Unit 43"
"prosaic","adjective","plain, lacking liveliness","Someone who is prosaic is plain, lacking liveliness, and the character seemed exactly that.","Unit 19"
"proscribe","verb","to condemn, outlaw","To proscribe means to condemn, outlaw, so the group chose to proscribe before the problem became worse.","Unit 45"
"prosecute","verb","To bring criminal action against someone (in a trial)","To prosecute means to bring criminal action against someone (in a trial), so the group chose to prosecute before the problem became worse.","Unit 25"
"proselytize","verb","to convert someone to another belief, religion, party, or cause","To proselytize means to convert someone to another belief, religion, party, or cause, so the group chose to proselytize before the problem became worse.","Unit 14"
"protagonist","noun","the main character in a fictional work","The word protagonist refers to the main character in a fictional work, and that meaning fits the scene.","Unit 14"
"provincial","adjective","unsophisticated and limited; associated with the country","Someone who is provincial is unsophisticated and limited; associated with the country, and the character seemed exactly that.","Unit 44"
"provocative","adjective","Intending to provoke, inspire, or arouse","Someone who is provocative is intending to provoke, inspire, or arouse, and the character seemed exactly that.","Unit 34"
"prowess","noun","extraordinary ability","The word prowess refers to extraordinary ability, and that meaning fits the scene.","Unit 33"
"prude","noun","a person who is excessively concerned about proper behavior","The word prude refers to a person who is excessively concerned about proper behavior, and that meaning fits the scene.","Unit 02"
"prudence","noun","cautious, circumspect","The word prudence refers to cautious, circumspect, and that meaning fits the scene.","Unit 46"
"prudent","adjective","careful and sensible","Someone who is prudent is careful and sensible, and the character seemed exactly that.","Unit 27"
"prurient","adjective","eliciting or possessing an extraordinary interest in sex","Someone who is prurient is eliciting or possessing an extraordinary interest in sex, and the character seemed exactly that.","Unit 34"
"puerile","adjective","juvenile, immature","Someone who is puerile is juvenile, immature, and the character seemed exactly that.","Unit 32"
"pugilist","noun","a person who fights with his fists; a boxer","The word pugilist refers to a person who fights with his fists; a boxer, and that meaning fits the scene.","Unit 37"
"pugnacious","adjective","tending to quarrel or fight easily","Someone who is pugnacious is tending to quarrel or fight easily, and the character seemed exactly that.","Unit 16"
"pulchritude","noun","physical beauty","The word pulchritude refers to physical beauty, and that meaning fits the scene.","Unit 01"
"punctilious","adjective","marked by precise accordance with details","Someone who is punctilious is marked by precise accordance with details, and the character seemed exactly that.","Unit 31"
"pundit","noun","a critic or expert","The word pundit refers to a critic or expert, and that meaning fits the scene.","Unit 38"
"pungent","adjective","having a pointed, sharp quality?often used to describe smells","Someone who is pungent is having a pointed, sharp quality?often used to describe smells, and the character seemed exactly that.","Unit 05"
"punitive","adjective","involving punishment","Someone who is punitive is involving punishment, and the character seemed exactly that.","Unit 19"
"putrid","adjective","rotten, foul","Someone who is putrid is rotten, foul, and the character seemed exactly that.","Unit 40"
"quagmire","noun","a difficult situation","The word quagmire refers to a difficult situation, and that meaning fits the scene.","Unit 27"
"quaint","adjective","charmingly old-fashioned","Someone who is quaint is charmingly old-fashioned, and the character seemed exactly that.","Unit 17"
"qualitative","adjective","Involving qualities of something (features and content)","Someone who is qualitative is involving qualities of something (features and content), and the character seemed exactly that.","Unit 01"
"quandary","noun","a perplexed, unresolvable state","The word quandary refers to a perplexed, unresolvable state, and that meaning fits the scene.","Unit 11"
"quantitative","adjective","Involving quantities (numbers and amounts)","Someone who is quantitative is involving quantities (numbers and amounts), and the character seemed exactly that.","Unit 34"
"quell","verb","to put an end to","To quell means to put an end to, so the group chose to quell before the problem became worse.","Unit 31"
"querulous","adjective","complaining","Someone who is querulous is complaining, and the character seemed exactly that.","Unit 37"
"query","verb","to ask","To query means to ask, so the group chose to query before the problem became worse.","Unit 19"
"quiescent","adjective","being quiet or still or inactive","Someone who is quiescent is being quiet or still or inactive, and the character seemed exactly that.","Unit 40"
"quirk","noun","A strange habit","The word quirk refers to a strange habit, and that meaning fits the scene.","Unit 09"
"quixotic","adjective","not sensible about practical matters; idealistic and unrealistic","Someone who is quixotic is not sensible about practical matters; idealistic and unrealistic, and the character seemed exactly that.","Unit 39"
"quotidian","adjective","daily","Someone who is quotidian is daily, and the character seemed exactly that.","Unit 04"
"rail","verb","to scold, protest","To rail means to scold, protest, so the group chose to rail before the problem became worse.","Unit 06"
"raiment","noun","clothes","The word raiment refers to clothes, and that meaning fits the scene.","Unit 28"
"ramify","verb","To split into two or more branches","To ramify means to split into two or more branches, so the group chose to ramify before the problem became worse.","Unit 07"
"rancid","adjective","having a terrible taste or smell","Someone who is rancid is having a terrible taste or smell, and the character seemed exactly that.","Unit 10"
"rancor","noun","deep, bitter resentment","The word rancor refers to deep, bitter resentment, and that meaning fits the scene.","Unit 13"
"rancorous","adjective","showing deep-seated resentment","Someone who is rancorous is showing deep-seated resentment, and the character seemed exactly that.","Unit 33"
"rapport","noun","mutual understanding and harmony","The word rapport refers to mutual understanding and harmony, and that meaning fits the scene.","Unit 41"
"rash","adjective","Without attention to danger or risk","Someone who is rash is without attention to danger or risk, and the character seemed exactly that.","Unit 39"
"raucous","adjective","unpleasantly loud and harsh","Someone who is raucous is unpleasantly loud and harsh, and the character seemed exactly that.","Unit 34"
"raw","adjective","Unrefined","Someone who is raw is unrefined, and the character seemed exactly that.","Unit 15"
"raze","verb","to tear down","To raze means to tear down, so the group chose to raze before the problem became worse.","Unit 41"
"reactionary","noun","a person who is extremely conservative; an opponent of progress or liberalism","The word reactionary refers to a person who is extremely conservative; an opponent of progress or liberalism, and that meaning fits the scene.","Unit 21"
"rebuke","verb","to sharply criticize or reprimand","To rebuke means to sharply criticize or reprimand, so the group chose to rebuke before the problem became worse.","Unit 42"
"rebut","verb","to prove false using evidence","To rebut means to prove false using evidence, so the group chose to rebut before the problem became worse.","Unit 37"
"recalcitrant","adjective","stubbornly resistant to authority or control","Someone who is recalcitrant is stubbornly resistant to authority or control, and the character seemed exactly that.","Unit 07"
"recapitulate","verb","to sum up, repeat","To recapitulate means to sum up, repeat, so the group chose to recapitulate before the problem became worse.","Unit 27"
"reciprocate","verb","to give in return","To reciprocate means to give in return, so the group chose to reciprocate before the problem became worse.","Unit 44"
"recluse","noun","a person who withdraws from society to live in seclusion","The word recluse refers to a person who withdraws from society to live in seclusion, and that meaning fits the scene.","Unit 43"
"reclusive","adjective","solitary, shunning society","Someone who is reclusive is solitary, shunning society, and the character seemed exactly that.","Unit 13"
"reconcile","verb","to make compatible;to bring into harmony","To reconcile means to make compatible;to bring into harmony, so the group chose to reconcile before the problem became worse.","Unit 09"
"rectitude","noun","uprightness, extreme morality","The word rectitude refers to uprightness, extreme morality, and that meaning fits the scene.","Unit 27"
"redundant","adjective","having ideas that are repeated unnecessarily","Someone who is redundant is having ideas that are repeated unnecessarily, and the character seemed exactly that.","Unit 41"
"reformist","noun","a person who favors reform","The word reformist refers to a person who favors reform, and that meaning fits the scene.","Unit 37"
"refract","verb","to distort, change","To refract means to distort, change, so the group chose to refract before the problem became worse.","Unit 16"
"refurbish","verb","to restore, clean up","To refurbish means to restore, clean up, so the group chose to refurbish before the problem became worse.","Unit 20"
"refute","verb","to prove to be false; to deny as true","To refute means to prove to be false; to deny as true, so the group chose to refute before the problem became worse.","Unit 43"
"reiterate","verb","to say again","To reiterate means to say again, so the group chose to reiterate before the problem became worse.","Unit 32"
"relish","verb","to enjoy","To relish means to enjoy, so the group chose to relish before the problem became worse.","Unit 35"
"remedial","adjective","intended to repair gaps in students' basic knowledge","Someone who is remedial is intended to repair gaps in students' basic knowledge, and the character seemed exactly that.","Unit 05"
"reminiscence","noun","recalling of the past; a memory","The word reminiscence refers to recalling of the past; a memory, and that meaning fits the scene.","Unit 17"
"remiss","adjective","careless and neglectful","Someone who is remiss is careless and neglectful, and the character seemed exactly that.","Unit 47"
"remorse","noun","a feeling of deep regret (usually for some misdeed)","The word remorse refers to a feeling of deep regret (usually for some misdeed), and that meaning fits the scene.","Unit 27"
"remuneration","noun","payment","The word remuneration refers to payment, and that meaning fits the scene.","Unit 44"
"renounce","verb","to give up; to turn away from","To renounce means to give up; to turn away from, so the group chose to renounce before the problem became worse.","Unit 41"
"renown","noun","fame","The word renown refers to fame, and that meaning fits the scene.","Unit 37"
"renunciation","noun","to reject","The word renunciation refers to to reject, and that meaning fits the scene.","Unit 20"
"repentant","adjective","penitent, sorry","Someone who is repentant is penitent, sorry, and the character seemed exactly that.","Unit 01"
"replete","adjective","full, abundant","Someone who is replete is full, abundant, and the character seemed exactly that.","Unit 12"
"repose","verb","to rest, lie down","To repose means to rest, lie down, so the group chose to repose before the problem became worse.","Unit 08"
"reprehensible","adjective","deserving of punishment","Someone who is reprehensible is deserving of punishment, and the character seemed exactly that.","Unit 31"
"reprieve","noun","a temporary delay of punishment","The word reprieve refers to a temporary delay of punishment, and that meaning fits the scene.","Unit 30"
"reproach","verb","to blame; to express criticism towards","To reproach means to blame; to express criticism towards, so the group chose to reproach before the problem became worse.","Unit 22"
"reprobate","adjective","evil, unprincipled","Someone who is reprobate is evil, unprincipled, and the character seemed exactly that.","Unit 45"
"reprove","verb","to scold, rebuke","To reprove means to scold, rebuke, so the group chose to reprove before the problem became worse.","Unit 35"
"repudiate","verb","to reject","To repudiate means to reject, so the group chose to repudiate before the problem became worse.","Unit 05"
"repugnant","adjective","offensive","Someone who is repugnant is offensive, and the character seemed exactly that.","Unit 42"
"reputable","adjective","of good reputation","Someone who is reputable is of good reputation, and the character seemed exactly that.","Unit 02"
"requisition","noun","a demand for goods, usually made by an authority","The word requisition refers to a demand for goods, usually made by an authority, and that meaning fits the scene.","Unit 39"
"rescind","verb","to take back, repeal","To rescind means to take back, repeal, so the group chose to rescind before the problem became worse.","Unit 08"
"resilient","adjective","easily recovering or rebounding","Someone who is resilient is easily recovering or rebounding, and the character seemed exactly that.","Unit 34"
"resolute","adjective","firm and determined","Someone who is resolute is firm and determined, and the character seemed exactly that.","Unit 08"
"respite","noun","a break, rest","The word respite refers to a break, rest, and that meaning fits the scene.","Unit 03"
"resplendent","adjective","shiny, glowing","Someone who is resplendent is shiny, glowing, and the character seemed exactly that.","Unit 18"
"restitution","noun","restoration to the rightful owner","The word restitution refers to restoration to the rightful owner, and that meaning fits the scene.","Unit 35"
"restive","adjective","resistant, stubborn, impatient","Someone who is restive is resistant, stubborn, impatient, and the character seemed exactly that.","Unit 18"
"reticent","adjective","inclined to keep quiet and private","Someone who is reticent is inclined to keep quiet and private, and the character seemed exactly that.","Unit 01"
"retract","verb","withdraw","To retract means to withdraw, so the group chose to retract before the problem became worse.","Unit 05"
"revel","verb","to enjoy intensely","To revel means to enjoy intensely, so the group chose to revel before the problem became worse.","Unit 47"
"revere","verb","to regard with respect and awe","To revere means to regard with respect and awe, so the group chose to revere before the problem became worse.","Unit 34"
"reviler","noun","a person who uses abusive language","The word reviler refers to a person who uses abusive language, and that meaning fits the scene.","Unit 44"
"revoke","verb","to take back","To revoke means to take back, so the group chose to revoke before the problem became worse.","Unit 12"
"rhapsodize","verb","to talk with great enthusiasm","To rhapsodize means to talk with great enthusiasm, so the group chose to rhapsodize before the problem became worse.","Unit 12"
"rhetoric","noun","skill in using language to persuade; empty talk","The word rhetoric refers to skill in using language to persuade; empty talk, and that meaning fits the scene.","Unit 13"
"ribald","adjective","coarsely, crudely humorous","Someone who is ribald is coarsely, crudely humorous, and the character seemed exactly that.","Unit 41"
"rife","adjective","abundant","Someone who is rife is abundant, and the character seemed exactly that.","Unit 07"
"rigorous","adjective","rigidly accurate; strict","Someone who is rigorous is rigidly accurate; strict, and the character seemed exactly that.","Unit 12"
"ruffian","noun","a tough, violent person","The word ruffian refers to a tough, violent person, and that meaning fits the scene.","Unit 15"
"ruminate","verb","to contemplate, reflect","To ruminate means to contemplate, reflect, so the group chose to ruminate before the problem became worse.","Unit 41"
"rumormonger","noun","a person who spreads rumors and gossip","The word rumormonger refers to a person who spreads rumors and gossip, and that meaning fits the scene.","Unit 07"
"ruse","noun","a trick","The word ruse refers to a trick, and that meaning fits the scene.","Unit 40"
"saccharine","adjective","sickeningly sweet","Someone who is saccharine is sickeningly sweet, and the character seemed exactly that.","Unit 31"
"sacrosanct","adjective","holy, something that should not be criticized","Someone who is sacrosanct is holy, something that should not be criticized, and the character seemed exactly that.","Unit 05"
"sagacious","adjective","acutely insightful and wise","Someone who is sagacious is acutely insightful and wise, and the character seemed exactly that.","Unit 01"
"sagacity","noun","shrewdness, soundness of perspective","The word sagacity refers to shrewdness, soundness of perspective, and that meaning fits the scene.","Unit 21"
"sage","noun","a person who is very wise","The word sage refers to a person who is very wise, and that meaning fits the scene.","Unit 05"
"salient","adjective","significant, conspicuous","Someone who is salient is significant, conspicuous, and the character seemed exactly that.","Unit 41"
"salutation","noun","a greeting","The word salutation refers to a greeting, and that meaning fits the scene.","Unit 40"
"salve","noun","a soothing balm","The word salve refers to a soothing balm, and that meaning fits the scene.","Unit 38"
"sanctimonious","adjective","being hypocritically religious or righteous","Someone who is sanctimonious is being hypocritically religious or righteous, and the character seemed exactly that.","Unit 33"
"sanction","verb","to approve","To sanction means to approve, so the group chose to sanction before the problem became worse.","Unit 02"
"sanguine","adjective","confidently optimistic and cheerful","Someone who is sanguine is confidently optimistic and cheerful, and the character seemed exactly that.","Unit 42"
"sarcasm","noun","cutting, ironic language intending to ridicule","The word sarcasm refers to cutting, ironic language intending to ridicule, and that meaning fits the scene.","Unit 20"
"satiate","verb","to satisfy excessively","To satiate means to satisfy excessively, so the group chose to satiate before the problem became worse.","Unit 02"
"satire","noun","the use of ridicule or a work (such as an essay, play, or movie) intending to ridicule","The word satire refers to the use of ridicule or a work (such as an essay, play, or movie) intending to ridicule, and that meaning fits the scene.","Unit 02"
"savant","noun","a person who has learned extensive knowledge","The word savant refers to a person who has learned extensive knowledge, and that meaning fits the scene.","Unit 44"
"scarce","adjective","lacking in supply","Someone who is scarce is lacking in supply, and the character seemed exactly that.","Unit 05"
"scathing","adjective","sharp, critical, hurtful","Someone who is scathing is sharp, critical, hurtful, and the character seemed exactly that.","Unit 22"
"schism","noun","division of a group into opposing factions","The word schism refers to division of a group into opposing factions, and that meaning fits the scene.","Unit 07"
"scintillating","adjective","brilliantly clever or flashy and exciting","Someone who is scintillating is brilliantly clever or flashy and exciting, and the character seemed exactly that.","Unit 07"
"scoff","verb","to laugh at and show open disrespect","To scoff means to laugh at and show open disrespect, so the group chose to scoff before the problem became worse.","Unit 35"
"scorn","noun","a lack of respect accompanied by a feeling of intense dislike","The word scorn refers to a lack of respect accompanied by a feeling of intense dislike, and that meaning fits the scene.","Unit 18"
"scribe","noun","a journalist or other writer","The word scribe refers to a journalist or other writer, and that meaning fits the scene.","Unit 07"
"scrupulous","adjective","abiding by morals or strict rules","Someone who is scrupulous is abiding by morals or strict rules, and the character seemed exactly that.","Unit 40"
"scrutinize","verb","to inspect carefully","To scrutinize means to inspect carefully, so the group chose to scrutinize before the problem became worse.","Unit 14"
"scurrilous","adjective","vulgar, coarse","Someone who is scurrilous is vulgar, coarse, and the character seemed exactly that.","Unit 46"
"sedentary","adjective","sitting, settled","Someone who is sedentary is sitting, settled, and the character seemed exactly that.","Unit 16"
"sedulous","adjective","marked by care and persistent effort","Someone who is sedulous is marked by care and persistent effort, and the character seemed exactly that.","Unit 06"
"semaphore","noun","a visual signal","The word semaphore refers to a visual signal, and that meaning fits the scene.","Unit 08"
"seminal","adjective","original, important, creating a field","Someone who is seminal is original, important, creating a field, and the character seemed exactly that.","Unit 15"
"sensual","adjective","involving sensory gratification, usually related to sex","Someone who is sensual is involving sensory gratification, usually related to sex, and the character seemed exactly that.","Unit 29"
"sensuous","adjective","involving sensory gratification","Someone who is sensuous is involving sensory gratification, and the character seemed exactly that.","Unit 28"
"sentient","adjective","experiencing sense perception and consciousness","Someone who is sentient is experiencing sense perception and consciousness, and the character seemed exactly that.","Unit 16"
"sentimental","adjective","characterized by tender feelings, such as love and nostalgia","Someone who is sentimental is characterized by tender feelings, such as love and nostalgia, and the character seemed exactly that.","Unit 11"
"serendipity","noun","luck, finding good things without looking for them","The word serendipity refers to luck, finding good things without looking for them, and that meaning fits the scene.","Unit 15"
"serene","adjective","calm and peaceful","Someone who is serene is calm and peaceful, and the character seemed exactly that.","Unit 10"
"servile","adjective","subservient","Someone who is servile is subservient, and the character seemed exactly that.","Unit 30"
"sibilant","adjective","having a hissing sound","Someone who is sibilant is having a hissing sound, and the character seemed exactly that.","Unit 46"
"sinuous","adjective","lithe, serpentine","Someone who is sinuous is lithe, serpentine, and the character seemed exactly that.","Unit 14"
"skeptical","adjective","having doubt","Someone who is skeptical is having doubt, and the character seemed exactly that.","Unit 06"
"smug","adjective","marked by excessive self-satisfaction","Someone who is smug is marked by excessive self-satisfaction, and the character seemed exactly that.","Unit 14"
"sobriety","noun","sedate, calm","The word sobriety refers to sedate, calm, and that meaning fits the scene.","Unit 17"
"solemn","adjective","intensely serious","Someone who is solemn is intensely serious, and the character seemed exactly that.","Unit 31"
"solicitous","adjective","anxious, eager, or worried","Someone who is solicitous is anxious, eager, or worried, and the character seemed exactly that.","Unit 39"
"solipsistic","adjective","believing that oneself is all that exists","Someone who is solipsistic is believing that oneself is all that exists, and the character seemed exactly that.","Unit 31"
"soluble","adjective","able to dissolve","Someone who is soluble is able to dissolve, and the character seemed exactly that.","Unit 39"
"somber","adjective","gloomy and serious","Someone who is somber is gloomy and serious, and the character seemed exactly that.","Unit 26"
"somnolent","adjective","sleepy or drowsy","Someone who is somnolent is sleepy or drowsy, and the character seemed exactly that.","Unit 07"
"sonorous","adjective","full and loud and deep, as a sound","Someone who is sonorous is full and loud and deep, as a sound, and the character seemed exactly that.","Unit 47"
"sophistry","noun","a false argument meant to trick someone","The word sophistry refers to a false argument meant to trick someone, and that meaning fits the scene.","Unit 32"
"sophomoric","adjective","immature, uninformed","Someone who is sophomoric is immature, uninformed, and the character seemed exactly that.","Unit 22"
"soporific","adjective","tending to make sleepy or drowsy","Someone who is soporific is tending to make sleepy or drowsy, and the character seemed exactly that.","Unit 05"
"sovereign","adjective","having absolute authority in a certain realm","Someone who is sovereign is having absolute authority in a certain realm, and the character seemed exactly that.","Unit 43"
"spawn","verb","To release eggs","To spawn means to release eggs, so the group chose to spawn before the problem became worse.","Unit 08"
"specious","adjective","1. plausible but false 2. deceptively pleasing","Someone who is specious is 1. plausible but false 2. deceptively pleasing, and the character seemed exactly that.","Unit 21"
"speculative","adjective","based on careful consideration or contemplation rather than fact","Someone who is speculative is based on careful consideration or contemplation rather than fact, and the character seemed exactly that.","Unit 23"
"spontaneous","adjective","unplanned; impulsive","Someone who is spontaneous is unplanned; impulsive, and the character seemed exactly that.","Unit 35"
"spur","verb","To stimulate or incite","To spur means to stimulate or incite, so the group chose to spur before the problem became worse.","Unit 09"
"spurious","adjective","false; not legitimate","Someone who is spurious is false; not legitimate, and the character seemed exactly that.","Unit 34"
"squalid","adjective","Run-down, sordid, or sleazy","Someone who is squalid is run-down, sordid, or sleazy, and the character seemed exactly that.","Unit 24"
"stagnant","adjective","not moving, flowing, or progressing","Someone who is stagnant is not moving, flowing, or progressing, and the character seemed exactly that.","Unit 23"
"stagnate","verb","to become or remain inactive, not develop, not flow","To stagnate means to become or remain inactive, not develop, not flow, so the group chose to stagnate before the problem became worse.","Unit 16"
"staid","adjective","sedate, serious, self-restrained","Someone who is staid is sedate, serious, self-restrained, and the character seemed exactly that.","Unit 11"
"stark","adjective","Very plain; devoid of any details or features","Someone who is stark is very plain; devoid of any details or features, and the character seemed exactly that.","Unit 30"
"static","adjective","Motionless","Someone who is static is motionless, and the character seemed exactly that.","Unit 38"
"stevedore","noun","a laborer who loads and unloads vessels in a port Before the ship left port, the stevedores loaded it with nearly four tons of food and supplies for the long voyage. Word Form: stevedore (vb.) stricture: (n) a criticism The film critic made several strictures about the movie's poor dialogue","The word stevedore refers to a laborer who loads and unloads vessels in a port Before the ship left port, the stevedores loaded it with nearly four tons of food and supplies for the long voyage. Word Form: stevedore (vb.) stricture: (n) a criticism The film critic made several strictures about the movie's poor dialogue, and that meaning fits the scene.","Unit 12"
"stifle","verb","to stop or hold back Vocabulary: Repeat Offenders www.powerscore.com 31","To stifle means to stop or hold back Vocabulary: Repeat Offenders www.powerscore.com 31, so the group chose to stifle before the problem became worse.","Unit 17"
"stingy","adjective","not generous, not inclined to spend or give","Someone who is stingy is not generous, not inclined to spend or give, and the character seemed exactly that.","Unit 10"
"stoic","adjective","unaffected by passion or feeling","Someone who is stoic is unaffected by passion or feeling, and the character seemed exactly that.","Unit 03"
"stolid","adjective","expressing little sensibility, unemotional","Someone who is stolid is expressing little sensibility, unemotional, and the character seemed exactly that.","Unit 43"
"strenuous","adjective","requiring tremendous energy or stamina","Someone who is strenuous is requiring tremendous energy or stamina, and the character seemed exactly that.","Unit 21"
"strident","adjective","harsh, loud","Someone who is strident is harsh, loud, and the character seemed exactly that.","Unit 14"
"stupefy","verb","to astonish, make insensible","To stupefy means to astonish, make insensible, so the group chose to stupefy before the problem became worse.","Unit 36"
"stymie","verb","to stump or hinder The warden was stymied by the escape; the prisoners' cell doors were still locked, and there were no holes in the walls. Word Form: stymie (n.) subversive: (adj) supporting the overthrowing of a government","To stymie means to stump or hinder The warden was stymied by the escape; the prisoners' cell doors were still locked, and there were no holes in the walls. Word Form: stymie (n.) subversive: (adj) supporting the overthrowing of a government, so the group chose to stymie before the problem became worse.","Unit 14"
"subjective","adjective","nfluenced by personal feelings or bias","Someone who is subjective is nfluenced by personal feelings or bias, and the character seemed exactly that.","Unit 16"
"subjugate","verb","to bring under control, subdue","To subjugate means to bring under control, subdue, so the group chose to subjugate before the problem became worse.","Unit 11"
"sublime","adjective","lofty, grand, exalted","Someone who is sublime is lofty, grand, exalted, and the character seemed exactly that.","Unit 29"
"submissive","adjective","easily yielding to authority","Someone who is submissive is easily yielding to authority, and the character seemed exactly that.","Unit 30"
"subsequent","adjective","coming later; following in order","Someone who is subsequent is coming later; following in order, and the character seemed exactly that.","Unit 20"
"substantiate","verb","to establish or strengthen","To substantiate means to establish or strengthen, so the group chose to substantiate before the problem became worse.","Unit 02"
"subterfuge","noun","something intended to deceive","The word subterfuge refers to something intended to deceive, and that meaning fits the scene.","Unit 25"
"subtle","adjective","difficult to detect","Someone who is subtle is difficult to detect, and the character seemed exactly that.","Unit 15"
"succinct","adjective","marked by compact precision","Someone who is succinct is marked by compact precision, and the character seemed exactly that.","Unit 19"
"sully","verb","to make dirty or unpure Mrs Sullivan's reputation was sullied by accusations that she was embezzling money from the PTA. Word Form: sulliable Antonym Form: unsullied tact: (n) consideration in dealing with others and avoiding giving offense Vocabulary: Repeat Offenders www.powerscore.com 41","To sully means to make dirty or unpure Mrs Sullivan's reputation was sullied by accusations that she was embezzling money from the PTA. Word Form: sulliable Antonym Form: unsullied tact: (n) consideration in dealing with others and avoiding giving offense Vocabulary: Repeat Offenders www.powerscore.com 41, so the group chose to sully before the problem became worse.","Unit 29"
"supercilious","adjective","arrogantly disdainful","Someone who is supercilious is arrogantly disdainful, and the character seemed exactly that.","Unit 40"
"superficial","adjective","on the surface; shallow; not significant","Someone who is superficial is on the surface; shallow; not significant, and the character seemed exactly that.","Unit 43"
"superfluous","adjective","having more than needed or wanted; excessive","Someone who is superfluous is having more than needed or wanted; excessive, and the character seemed exactly that.","Unit 12"
"supplant","verb","to replace or take the place of","To supplant means to replace or take the place of, so the group chose to supplant before the problem became worse.","Unit 11"
"suppress","verb","to stop; to control","To suppress means to stop; to control, so the group chose to suppress before the problem became worse.","Unit 04"
"surfeit","noun","an overabundant supply or indulgence","The word surfeit refers to an overabundant supply or indulgence, and that meaning fits the scene.","Unit 17"
"surmise","verb","to infer with little evidence","To surmise means to infer with little evidence, so the group chose to surmise before the problem became worse.","Unit 39"
"surreptitious","adjective","stealthy and secret","Someone who is surreptitious is stealthy and secret, and the character seemed exactly that.","Unit 37"
"surrogate","noun","one acting in place of another","The word surrogate refers to one acting in place of another, and that meaning fits the scene.","Unit 33"
"susceptible","adjective","easily affected","Someone who is susceptible is easily affected, and the character seemed exactly that.","Unit 30"
"sustain","verb","to uphold as valid","To sustain means to uphold as valid, so the group chose to sustain before the problem became worse.","Unit 18"
"swarthy","adjective","of dark color or complexion","Someone who is swarthy is of dark color or complexion, and the character seemed exactly that.","Unit 10"
"sycophant","noun","a person who flatters others in order to gain personal favor; a brown-noser","The word sycophant refers to a person who flatters others in order to gain personal favor; a brown-noser, and that meaning fits the scene.","Unit 24"
"tacit","adjective","unspoken and implied","Someone who is tacit is unspoken and implied, and the character seemed exactly that.","Unit 21"
"taciturn","adjective","not inclined to talk","Someone who is taciturn is not inclined to talk, and the character seemed exactly that.","Unit 35"
"tactful","adjective","Skilled at dealing with people","Someone who is tactful is skilled at dealing with people, and the character seemed exactly that.","Unit 07"
"tactile","adjective","having to do with the sense of touch","Someone who is tactile is having to do with the sense of touch, and the character seemed exactly that.","Unit 27"
"tangential","adjective","incidental, peripheral, divergent","Someone who is tangential is incidental, peripheral, divergent, and the character seemed exactly that.","Unit 23"
"tantamount","adjective","equivalent in value or significance","Someone who is tantamount is equivalent in value or significance, and the character seemed exactly that.","Unit 12"
"taut","adjective","Pulled tight","Someone who is taut is pulled tight, and the character seemed exactly that.","Unit 12"
"tedious","adjective","long, boring, and tiring","Someone who is tedious is long, boring, and tiring, and the character seemed exactly that.","Unit 26"
"temerity","noun","fearless daring","The word temerity refers to fearless daring, and that meaning fits the scene.","Unit 21"
"temperance","noun","moderation in action or thought","The word temperance refers to moderation in action or thought, and that meaning fits the scene.","Unit 27"
"temperate","adjective","moderate; not extreme","Someone who is temperate is moderate; not extreme, and the character seemed exactly that.","Unit 19"
"tenable","adjective","able to be defended or maintained","Someone who is tenable is able to be defended or maintained, and the character seemed exactly that.","Unit 05"
"tenacious","adjective","unyielding; stubborn","Someone who is tenacious is unyielding; stubborn, and the character seemed exactly that.","Unit 46"
"tenuous","adjective","very thin; lacking substance","Someone who is tenuous is very thin; lacking substance, and the character seemed exactly that.","Unit 44"
"terrestrial","adjective","relating to the land","Someone who is terrestrial is relating to the land, and the character seemed exactly that.","Unit 01"
"therapeutic","adjective","tending to cure or restore to health","Someone who is therapeutic is tending to cure or restore to health, and the character seemed exactly that.","Unit 45"
"thwart","verb","to hinder or prevent","To thwart means to hinder or prevent, so the group chose to thwart before the problem became worse.","Unit 13"
"timorous","adjective","timid, fearful","Someone who is timorous is timid, fearful, and the character seemed exactly that.","Unit 40"
"tinder","pos","easily combustible material used for starting a fire","In this context, tinder refers to easily combustible material used for starting a fire.","Unit 27"
"tirade","noun","a long speech marked by harsh or biting language","The word tirade refers to a long speech marked by harsh or biting language, and that meaning fits the scene.","Unit 26"
"toady","noun","a person who flatters others in order to gain personal favor; a brown-noser","The word toady refers to a person who flatters others in order to gain personal favor; a brown-noser, and that meaning fits the scene.","Unit 01"
"tome","noun","a large book","The word tome refers to a large book, and that meaning fits the scene.","Unit 12"
"torpid","adjective","lethargic, dormant, lacking motion","Someone who is torpid is lethargic, dormant, lacking motion, and the character seemed exactly that.","Unit 16"
"torrid","adjective","giving off intense heat, passionate","Someone who is torrid is giving off intense heat, passionate, and the character seemed exactly that.","Unit 26"
"tortuous","adjective","winding","Someone who is tortuous is winding, and the character seemed exactly that.","Unit 42"
"totalitarian","noun","a leader of a government that has total control and authority over the people","The word totalitarian refers to a leader of a government that has total control and authority over the people, and that meaning fits the scene.","Unit 23"
"tractable","adjective","easily controlled","Someone who is tractable is easily controlled, and the character seemed exactly that.","Unit 10"
